Behavior_Big5,Prompt
"['Mindful vs. Distracted Eating', 'Extraversion']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Mindful vs. Distracted Eating

**Big5 Personality Trait:**

Extraversion

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Mindful vs. Distracted Eating', 'Agreeableness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Mindful vs. Distracted Eating

**Big5 Personality Trait:**

Agreeableness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Mindful vs. Distracted Eating', 'Conscientiousness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Mindful vs. Distracted Eating

**Big5 Personality Trait:**

Conscientiousness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Mindful vs. Distracted Eating', 'Neuroticism']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Mindful vs. Distracted Eating

**Big5 Personality Trait:**

Neuroticism

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Mindful vs. Distracted Eating', 'Openness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Mindful vs. Distracted Eating

**Big5 Personality Trait:**

Openness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Emotional Eating', 'Extraversion']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Emotional Eating

**Big5 Personality Trait:**

Extraversion

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Emotional Eating', 'Agreeableness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Emotional Eating

**Big5 Personality Trait:**

Agreeableness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Emotional Eating', 'Conscientiousness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Emotional Eating

**Big5 Personality Trait:**

Conscientiousness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Emotional Eating', 'Neuroticism']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Emotional Eating

**Big5 Personality Trait:**

Neuroticism

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Emotional Eating', 'Openness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Emotional Eating

**Big5 Personality Trait:**

Openness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Portion Control', 'Extraversion']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Portion Control

**Big5 Personality Trait:**

Extraversion

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Portion Control', 'Agreeableness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Portion Control

**Big5 Personality Trait:**

Agreeableness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Portion Control', 'Conscientiousness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Portion Control

**Big5 Personality Trait:**

Conscientiousness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Portion Control', 'Neuroticism']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Portion Control

**Big5 Personality Trait:**

Neuroticism

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Portion Control', 'Openness']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Portion Control

**Big5 Personality Trait:**

Openness

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
"['Regular vs. Irregular Meal Patterns', 'Extraversion']","Imagine you are a dietitian, crafting personalized, persuasive messages to guide individual toward mindful eating.
You have been provided with eating behavior and one big5 personality trait of the individual.

**Eating Behavior to Address:**

Regular vs. Irregular Meal Patterns

**Big5 Personality Trait:**

Extraversion

**Task:**
Write at least 30 persuasive messages (acting as a dietitian) that serve as gentle reminders and actionable guidelines for mindful eating.  These messages should:
- **Be specifically tailored to the given big5_personality_trait and the Eating Behavior.**
- **Promote mindful eating practices**
- **Adopt a supportive, empathetic, and knowledgeable dietitian's tone.** Be encouraging and avoid being judgmental.
- **Provide practical and actionable advice.** Think of these as short, impactful tips individual can easily incorporate into their daily life.
- **Build upon individual's existing awareness and positive changes**

**Desired Tone:**  Empathetic, supportive, encouraging, knowledgeable, and action-oriented dietitian.

Generate a CSV file containing at least 30 personalized, persuasive messages. The CSV should have two columns:

Behavior_Big5 - A combined label for the eating behavior and Big5 personality trait as a list (e.g., ['Mindful vs. Distracted Eating, Extraversion']).
Message - The persuasive message.
The CSV should follow this structure:

Behavior_Big5	Message
...	...

Output the final result in CSV format."
